itch_game_url,counts
https://adventurebit.itch.io/samurailantern,11
https://adventurebox.itch.io/boom-village,12
https://adventureislands.itch.io/dukedashington,6
https://aecswin.itch.io/creeper,8
https://aedian-glair.itch.io/mannequin-academy,8
https://aeiowu.itch.io/tumbleseed,11
https://aekashics.itch.io/kemonoq,10
https://aeondreamstudios.itch.io/mystic-destinies-serendipity-of-aeons,7
https://aeondreamstudios.itch.io/mystic-destinies-serendipity-of-aeons-tatsuya,9
https://aethericgames.itch.io/bonbon,10
https://aethericgames.itch.io/hel,9
https://aethericgames.itch.io/interactivity-the-interactive-experience,12
https://aetherinteractive.itch.io/arc-symphony,10
https://aetherinteractive.itch.io/sol-hemochroma,10
https://aetherinteractive.itch.io/sonic-oc-7,10
https://agent11.itch.io/creepyface,13
https://agtaecker-wyss.itch.io/sumo-smashdown,12
https://ahakuo.itch.io/soundistoxic,8
https://ahintoflime.itch.io/30-pictures,9
https://ahintoflime.itch.io/hell,6
https://ahintoflime.itch.io/hot-dog-dreamer,11
https://ahintoflime.itch.io/super-waluigi-3,11
https://ahr-ech.itch.io/happy-happy-krampusnacht,10
https://aich.itch.io/emperors-zero,10
https://aikoncwd.itch.io/cursed-gem,12
https://aiousproduction.itch.io/aious,11
https://airdorf.itch.io/earls-day-off,10
https://airdorf.itch.io/extra-ordinary,9
https://airdorf.itch.io/faith,13
https://airdorf.itch.io/thewind,12
https://aishin.itch.io/arcadea,11
https://akabaka.itch.io/chromatose,11
https://akirassasin.itch.io/waker,10
https://alarkus.itch.io/horrorvale,10
https://albatr.itch.io/shootout-inc,12
https://albatrosssoup.itch.io/sleep-walker,9
https://alcex.itch.io/dreams-and-reality,9
https://alcor-etc.itch.io/misshapen-love,10
https://aldiansolkai.itch.io/dolphin-island-2,10
https://alex-fc.itch.io/dungeons-and-brooms,12
https://alexandermirdzveli.itch.io/the-dwarf-run,11
https://alexkalopsia.itch.io/memoir-en-code-reissue,10
https://alextomkow.itch.io/discomfort-zone,9
https://algorocks.itch.io/startup-panic,10
https://alicerendell.itch.io/the-monster-in-me,9
https://alienpixelstudios.itch.io/unbound,14
https://alienplay.itch.io/fling,10
https://alienplay.itch.io/garage-apocalypse,9
https://alienplay.itch.io/link-it-up,10
https://alienplay.itch.io/spin,9
https://allfenom.itch.io/zoriasgame,11
https://alliterationalliance.itch.io/lll,11
https://allshar.itch.io/the-potato-problem,11
https://allshar.itch.io/winds-of-revenge,12
https://almostgames.itch.io/blake-strongflank,10
https://alpha-toaster.itch.io/hello-world,13
https://alt254.itch.io/triforce,12
https://altergaze.itch.io/hovergrease,12
https://altfuture.itch.io/1teratoaster,9
https://amanitadesign.itch.io/samorost-2,10
https://amblacksheep.itch.io/red-thread,10
https://amegpo.itch.io/dungeon-of-numenas,9
https://amicianthony.itch.io/ace-baker,9
https://amoramor.itch.io/unheimlichp,11
https://amrynth.itch.io/through-the-woods,9
https://an-studios.itch.io/minimum-wrage,11
https://anarkisgaming.itch.io/unending-galaxy,11
https://andimlenny.itch.io/a-month-to-look-at-the-moon,8
https://andimlenny.itch.io/bitsy-camp-2019,13
https://andimlenny.itch.io/constellations,9
https://andimlenny.itch.io/ducks-in-a-row,12
https://andimlenny.itch.io/sheep-sphere,8
https://andimlenny.itch.io/strawberry-cake,10
https://andrade-games.itch.io/heidelberg-1693-public-demo,10
https://andreea-cosmic.itch.io/zestre,10
https://andrewbrophy.itch.io/knuckle-sandwich,9
https://andriy-bychkovskyi.itch.io/pixel-express,12
https://andriy-bychkovskyi.itch.io/the-farlanders,10
https://andymakes.itch.io/particlemace,12
https://andyman404.itch.io/lullaby-of-colors,11
https://angrysquirrels.itch.io/ld44-knock-knock-traveling-soulsman,8
https://anim-ace.itch.io/aliens-go-home-run,11
https://annekatran.itch.io/donut-wrangler,9
https://annekatran.itch.io/kero-catch,11
https://anomalina.itch.io/foxhunt-chapter1,11
https://anotterteam.itch.io/bubumbu,9
https://ansdor.itch.io/slipstream,7
https://ansitygames.itch.io/reclaim-earth,12
https://anthonysturdy.itch.io/case-white,9
https://anthrodi.itch.io/mend-bloodlines,8
https://antlerstudios.itch.io/project-grove,12
https://anto80.itch.io/keineged-an-nor,9
https://antoined73.itch.io/overflow,8
