game_name,game_release_date,game_url
Mortal Kombat 11,"23 Apr, 2019",https://store.steampowered.com/app/976310/Mortal_Kombat11/?snr=1_7_7_topsellers_150_9
Pacify,"22 Feb, 2019",https://store.steampowered.com/app/967050/Pacify/?snr=1_7_7_topsellers_150_19
One Step From Eden,"26 Mar, 2020",https://store.steampowered.com/app/960690/One_Step_From_Eden/?snr=1_7_7_topsellers_150_3
Terminator: Resistance,"14 Nov, 2019",https://store.steampowered.com/app/954740/Terminator_Resistance/?snr=1_7_7_topsellers_150_13
Druidstone: The Secret of the Menhir Forest,"15 May, 2019",https://store.steampowered.com/app/954650/Druidstone_The_Secret_of_the_Menhir_Forest/?snr=1_7_7_topsellers_150_17
Jurassic World Evolution: Secrets of Dr Wu,"20 Nov, 2018",https://store.steampowered.com/app/953940/Jurassic_World_Evolution_Secrets_of_Dr_Wu/?snr=1_7_7_topsellers_150_16
RESIDENT EVIL 3,"2 Apr, 2020",https://store.steampowered.com/app/952060/RESIDENT_EVIL_3/?snr=1_7_7_topsellers_150_1
Volcanoids,"29 Jan, 2019",https://store.steampowered.com/app/951440/Volcanoids/?snr=1_7_7_topsellers_150_15
Sid Meier's Civilization VI: Gathering Storm,"13 Feb, 2019",https://store.steampowered.com/app/947510/Sid_Meiers_Civilization_VI_Gathering_Storm/?snr=1_7_7_topsellers_150_1
Stellaris: MegaCorp,"6 Dec, 2018",https://store.steampowered.com/app/944290/Stellaris_MegaCorp/?snr=1_7_7_topsellers_150_12
Garden Flipper,"16 May, 2019",https://store.steampowered.com/app/942290/Garden_Flipper/?snr=1_7_7_topsellers_150_13
Endzone - A World Apart,"2 Apr, 2020",https://store.steampowered.com/app/933820/Endzone__A_World_Apart/?snr=1_7_7_topsellers_150_5
F1 2019,"27 Jun, 2019",https://store.steampowered.com/app/928600/F1_2019/?snr=1_7_7_topsellers_150_10
The Elder Scrolls Online - Elsweyr,"21 May, 2019",https://store.steampowered.com/app/925100/The_Elder_Scrolls_Online__Elsweyr/?snr=1_7_7_topsellers_150_8
The Elder Scrolls Online - Elsweyr,"21 May, 2019",https://store.steampowered.com/app/925100/The_Elder_Scrolls_Online__Elsweyr/?snr=1_7_7_topsellers_150_7
The Elder Scrolls Online - Elsweyr,"21 May, 2019",https://store.steampowered.com/app/925100/The_Elder_Scrolls_Online__Elsweyr/?snr=1_7_7_topsellers_150_4
The Elder Scrolls Online - Elsweyr,"21 May, 2019",https://store.steampowered.com/app/925100/The_Elder_Scrolls_Online__Elsweyr/?snr=1_7_7_topsellers_150_1
Trials of Mana,24th April 2020,https://store.steampowered.com/app/924980/Trials_of_Mana/?snr=1_7_7_topsellers_150_10
OCTOPATH TRAVELER,"7 Jun, 2019",https://store.steampowered.com/app/921570/OCTOPATH_TRAVELER/?snr=1_7_7_topsellers_150_15
Godhood,"10 Jul, 2019",https://store.steampowered.com/app/917150/Godhood/?snr=1_7_7_topsellers_150_19
WORLD OF HORROR,"20 Feb, 2020",https://store.steampowered.com/app/913740/WORLD_OF_HORROR/?snr=1_7_7_topsellers_150_14
Good Company,"31 Mar, 2020",https://store.steampowered.com/app/911430/Good_Company/?snr=1_7_7_topsellers_150_9
Last Oasis,"26 Mar, 2020",https://store.steampowered.com/app/903950/Last_Oasis/?snr=1_7_7_topsellers_150_1
Last Epoch,"30 Apr, 2019",https://store.steampowered.com/app/899770/Last_Epoch/?snr=1_7_7_topsellers_150_9
Axis & Allies 1942 Online,"31 Jul, 2019",https://store.steampowered.com/app/898920/Axis__Allies_1942_Online/?snr=1_7_7_topsellers_150_13
Grim Dawn - Forgotten Gods Expansion,"27 Mar, 2019",https://store.steampowered.com/app/897670/Grim_Dawn__Forgotten_Gods_Expansion/?snr=1_7_7_topsellers_150_9
Sid Meier's Civilization V,"21 Sep, 2010",https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/?snr=1_7_7_topsellers_150_11
In Other Waters,"3 Apr, 2020",https://store.steampowered.com/app/890720/In_Other_Waters/?snr=1_7_7_topsellers_150_19
ARK: Extinction - Expansion Pack,"6 Nov, 2018",https://store.steampowered.com/app/887380/ARK_Extinction__Expansion_Pack/?snr=1_7_7_topsellers_150_18
EPHEMERAL -FANTASY ON DARK-,"11 Sep, 2018",https://store.steampowered.com/app/886730/EPHEMERAL_FANTASY_ON_DARK/?snr=1_7_7_topsellers_150_16
RESIDENT EVIL 2 / BIOHAZARD RE:2,"24 Jan, 2019",https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2/?snr=1_7_7_topsellers_150_2
RESIDENT EVIL 2 / BIOHAZARD RE:2,"24 Jan, 2019",https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2/?snr=1_7_7_topsellers_150_1
Six Ages: Ride Like the Wind,"17 Oct, 2019",https://store.steampowered.com/app/881420/Six_Ages_Ride_Like_the_Wind/?snr=1_7_7_topsellers_150_19
Pummel Party,"20 Sep, 2018",https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_topsellers_150_3
The Walking Dead: The Final Season,"13 Aug, 2018",https://store.steampowered.com/app/866800/The_Walking_Dead_The_Final_Season/?snr=1_7_7_topsellers_150_4
Starcom: Nexus,"12 Dec, 2019",https://store.steampowered.com/app/863590/Starcom_Nexus/?snr=1_7_7_topsellers_150_14
Session: Skateboarding Sim Game,"17 Sep, 2019",https://store.steampowered.com/app/861650/Session_Skateboarding_Sim_Game/?snr=1_7_7_topsellers_150_11
Dawn of Man,"1 Mar, 2019",https://store.steampowered.com/app/858810/Dawn_of_Man/?snr=1_7_7_topsellers_150_2
Dawn of Man,"1 Mar, 2019",https://store.steampowered.com/app/858810/Dawn_of_Man/?snr=1_7_7_topsellers_150_1
DRAGON BALL Z: KAKAROT,"16 Jan, 2020",https://store.steampowered.com/app/851850/DRAGON_BALL_Z_KAKAROT/?snr=1_7_7_topsellers_150_5
Post Scriptum: Supporter Edition Upgrade,"10 Oct, 2018",https://store.steampowered.com/app/848990/Post_Scriptum_Supporter_Edition_Upgrade/?snr=1_7_7_topsellers_150_19
Subnautica: Below Zero,"30 Jan, 2019",https://store.steampowered.com/app/848450/Subnautica_Below_Zero/?snr=1_7_7_topsellers_150_6
Katamari Damacy REROLL,"6 Dec, 2018",https://store.steampowered.com/app/848350/Katamari_Damacy_REROLL/?snr=1_7_7_topsellers_150_18
Outlaws of the Old West,"12 Mar, 2019",https://store.steampowered.com/app/840800/Outlaws_of_the_Old_West/?snr=1_7_7_topsellers_150_10
Total War: WARHAMMER II - Curse of the Vampire Coast,"8 Nov, 2018",https://store.steampowered.com/app/835670/Total_War_WARHAMMER_II__Curse_of_the_Vampire_Coast/?snr=1_7_7_topsellers_150_14
ATLAS,"22 Dec, 2018",https://store.steampowered.com/app/834910/ATLAS/?snr=1_7_7_topsellers_150_12
LEGO DC Super-Villains,"16 Oct, 2018",https://store.steampowered.com/app/829110/LEGO_DC_SuperVillains/?snr=1_7_7_topsellers_150_13
KovaaK 2.0: The Meta,"3 Apr, 2018",https://store.steampowered.com/app/824270/KovaaK_20_The_Meta/?snr=1_7_7_topsellers_150_8
BONEWORKS,"10 Dec, 2019",https://store.steampowered.com/app/823500/BONEWORKS/?snr=1_7_7_topsellers_150_4
Space Hulk: Deathwing - Enhanced Edition,"22 May, 2018",https://store.steampowered.com/app/816090/Space_Hulk_Deathwing__Enhanced_Edition/?snr=1_7_7_topsellers_150_16
Green Hell,"5 Sep, 2019",https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_topsellers_150_1
Sekiro: Shadows Die Twice,"21 Mar, 2019",https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice/?snr=1_7_7_topsellers_150_11
Age of Empires II: Definitive Edition,"14 Nov, 2019",https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_topsellers_150_2
Assassin's Creed Odyssey,"5 Oct, 2018",https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/?snr=1_7_7_topsellers_150_5
Deep Rock Galactic - Supporter Upgrade,"28 Feb, 2018",https://store.steampowered.com/app/801860/Deep_Rock_Galactic__Supporter_Upgrade/?snr=1_7_7_topsellers_150_14
American Truck Simulator - Oregon,"4 Oct, 2018",https://store.steampowered.com/app/800370/American_Truck_Simulator__Oregon/?snr=1_7_7_topsellers_150_8
Terraforming Mars,"17 Oct, 2018",https://store.steampowered.com/app/800270/Terraforming_Mars/?snr=1_7_7_topsellers_150_17
Outward,"26 Mar, 2019",https://store.steampowered.com/app/794260/Outward/?snr=1_7_7_topsellers_150_12
Farming Simulator 19,"19 Nov, 2018",https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_7_7_topsellers_150_5
Workers & Resources: Soviet Republic,"15 Mar, 2019",https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic/?snr=1_7_7_topsellers_150_15
DOOM Eternal,"19 Mar, 2020",https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_topsellers_150_2
DOOM Eternal,"19 Mar, 2020",https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_topsellers_150_1
DOOM Eternal,"19 Mar, 2020",https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_topsellers_150_1
Black Desert Online - Kakao Cash,"24 Jan, 2018",https://store.steampowered.com/app/780770/Black_Desert_Online__Kakao_Cash/?snr=1_7_7_topsellers_150_3
Gloomhaven,"17 Jul, 2019",https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_topsellers_150_19
Total War: THREE KINGDOMS,"23 May, 2019",https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_topsellers_150_5
The Jackbox Party Pack 5,"16 Oct, 2018",https://store.steampowered.com/app/774461/The_Jackbox_Party_Pack_5/?snr=1_7_7_topsellers_150_3
Grand Theft Auto V - Criminal Enterprise Starter Pack,"14 Dec, 2017",https://store.steampowered.com/app/771300/Grand_Theft_Auto_V__Criminal_Enterprise_Starter_Pack/?snr=1_7_7_topsellers_150_11
Leisure Suit Larry - Wet Dreams Don't Dry,"7 Nov, 2018",https://store.steampowered.com/app/765870/Leisure_Suit_Larry__Wet_Dreams_Dont_Dry/?snr=1_7_7_topsellers_150_14
Conan Exiles - The Imperial East Pack,"22 Jun, 2018",https://store.steampowered.com/app/760730/Conan_Exiles__The_Imperial_East_Pack/?snr=1_7_7_topsellers_150_17
Mutant Year Zero: Road to Eden,"4 Dec, 2018",https://store.steampowered.com/app/760060/Mutant_Year_Zero_Road_to_Eden/?snr=1_7_7_topsellers_150_2
Mutant Year Zero: Road to Eden,"4 Dec, 2018",https://store.steampowered.com/app/760060/Mutant_Year_Zero_Road_to_Eden/?snr=1_7_7_topsellers_150_1
VR Kanojo,"8 Apr, 2018",https://store.steampowered.com/app/751440/VR_Kanojo__VR/?snr=1_7_7_topsellers_150_7
Temtem,"21 Jan, 2020",https://store.steampowered.com/app/745920/Temtem/?snr=1_7_7_topsellers_150_5
Post Scriptum,"9 Aug, 2018",https://store.steampowered.com/app/736220/Post_Scriptum/?snr=1_7_7_topsellers_150_10
Crash Bandicoot N. Sane Trilogy,"29 Jun, 2018",https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy/?snr=1_7_7_topsellers_150_9
Overcooked! 2,"7 Aug, 2018",https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_topsellers_150_7
Scythe: Digital Edition,"5 Sep, 2018",https://store.steampowered.com/app/718560/Scythe_Digital_Edition/?snr=1_7_7_topsellers_150_8
Stellaris: Apocalypse,"22 Feb, 2018",https://store.steampowered.com/app/716670/Stellaris_Apocalypse/?snr=1_7_7_topsellers_150_7
Eastshade,"13 Feb, 2019",https://store.steampowered.com/app/715560/Eastshade/?snr=1_7_7_topsellers_150_15
Planet Zoo,"5 Nov, 2019",https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_topsellers_150_8
Planet Zoo,"5 Nov, 2019",https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_topsellers_150_2
Planet Zoo,"5 Nov, 2019",https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_topsellers_150_1
Trine 4: The Nightmare Prince,"8 Oct, 2019",https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince/?snr=1_7_7_topsellers_150_15
Hell Let Loose,"6 Jun, 2019",https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_topsellers_150_18
Door Kickers: Action Squad,"10 Sep, 2018",https://store.steampowered.com/app/686200/Door_Kickers_Action_Squad/?snr=1_7_7_topsellers_150_2
