game_name,game_release_date,game_url
The Jackbox Party Pack,"26 Nov, 2014",https://store.steampowered.com/app/331670/The_Jackbox_Party_Pack/?snr=1_7_7_topsellers_150_2
Pummel Party,"20 Sep, 2018",https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_topsellers_150_3
DayZ,"13 Dec, 2018",https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_topsellers_150_3
Monster Hunter World: Iceborne,"9 Jan, 2020",https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_topsellers_150_3
Ori and the Will of the Wisps,"10 Mar, 2020",https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps/?snr=1_7_7_topsellers_150_3
Total War: WARHAMMER II,"28 Sep, 2017",https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_topsellers_150_3
Human: Fall Flat,"22 Jul, 2016",https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_topsellers_150_3
Planet Zoo: South America Pack ,"7 Apr, 2020",https://store.steampowered.com/app/1238440/Planet_Zoo_South_America_Pack/?snr=1_7_7_topsellers_150_3
STAR WARS Jedi: Fallen Order™,"15 Nov, 2019",https://store.steampowered.com/app/1172380/STAR_WARS_Jedi_Fallen_Order/?snr=1_7_7_topsellers_150_3
The Forest,"30 Apr, 2018",https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_topsellers_150_3
Dying Light Enhanced Edition,,https://store.steampowered.com/sub/88801/?snr=1_7_7_topsellers_150_3
Borderlands 3,"13 Mar, 2020",https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_topsellers_150_3
Space Engineers Ultimate Edition,,https://store.steampowered.com/bundle/12999/Space_Engineers_Ultimate_Edition/?snr=1_7_7_topsellers_150_3
The Jackbox Party Pack 5,"16 Oct, 2018",https://store.steampowered.com/app/774461/The_Jackbox_Party_Pack_5/?snr=1_7_7_topsellers_150_3
